"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","264","test_pca_clustering","packages.plot.tests","Sun Apr 19 10:51:11 UTC 2026","passed","Sun Apr 19 10:51:11 UTC 2026","","test_pca_cluster","",""
"","0","test_fasta","packages.core.tests","Sun Apr 19 10:49:44 UTC 2026","passed","Sun Apr 19 10:49:44 UTC 2026","","test_sequence","",""
"","430","test_pipeline_sequential_execution","packages.core.tests","Sun Apr 19 10:49:43 UTC 2026","passed","Sun Apr 19 10:49:44 UTC 2026","","test_pipeline","",""
"","246","test_volcano_plot_generation","packages.plot.tests","Sun Apr 19 10:51:16 UTC 2026","passed","Sun Apr 19 10:51:17 UTC 2026","","test_volcano","",""
"Test full docking pipeline with Smina using real data.","21","test_smina_docking_pipeline","packages.docking.tests","Sun Apr 19 10:49:45 UTC 2026","passed","Sun Apr 19 10:49:45 UTC 2026","","test_docker_engines","",""
"","239","test_box_plot_swarm","packages.plot.tests","Sun Apr 19 10:50:50 UTC 2026","passed","Sun Apr 19 10:50:50 UTC 2026","","test_box","",""
"测试 _load_typer 接收无效对象时抛出 TypeError","3","test_load_typer_with_invalid_object","packages.cli.tests","Sun Apr 19 10:49:43 UTC 2026","passed","Sun Apr 19 10:49:43 UTC 2026","","test_plugins","",""
"","12","test_run_streaming_success","packages.core.tests","Sun Apr 19 10:49:44 UTC 2026","passed","Sun Apr 19 10:49:44 UTC 2026","","test_subprocess_new","",""
"","1","test_mafft_aligner","packages.msa.tests","Sun Apr 19 10:50:48 UTC 2026","passed","Sun Apr 19 10:50:48 UTC 2026","","test_msa","",""
"","63","test_volcano_custom_labels","packages.plot.tests","Sun Apr 19 10:50:53 UTC 2026","passed","Sun Apr 19 10:50:53 UTC 2026","","test_customization","",""
"","1","test_fastq","packages.core.tests","Sun Apr 19 10:49:44 UTC 2026","passed","Sun Apr 19 10:49:44 UTC 2026","","test_sequence","",""
"","411","test_gsea_with_metric","packages.plot.tests","Sun Apr 19 10:50:54 UTC 2026","passed","Sun Apr 19 10:50:54 UTC 2026","","test_gsea","",""
"测试 ThemeTemplate 创建主题包","4","test_theme_template_create","packages.cli.tests","Sun Apr 19 10:49:43 UTC 2026","passed","Sun Apr 19 10:49:43 UTC 2026","","test_create","",""
"","175","test_volcano_cli_excel","packages.plot.tests","Sun Apr 19 10:50:52 UTC 2026","passed","Sun Apr 19 10:50:53 UTC 2026","","test_cli","",""
"Test if gnina binary is executable and returns help.","0","test_gnina_executable","packages.docking.tests","Sun Apr 19 10:49:45 UTC 2026","passed","Sun Apr 19 10:49:45 UTC 2026","","test_docker_engines","",""
"","2","test_dock","packages.docking.tests","Sun Apr 19 10:50:48 UTC 2026","passed","Sun Apr 19 10:50:48 UTC 2026","TestSminaEngine","test_smina","",""
"","1","test_transcription","packages.core.tests","Sun Apr 19 10:49:44 UTC 2026","passed","Sun Apr 19 10:49:44 UTC 2026","","test_sequence","",""
"","168","test_bar_plot_significance","packages.plot.tests","Sun Apr 19 10:50:49 UTC 2026","passed","Sun Apr 19 10:50:49 UTC 2026","","test_bar","",""
"Test preparing a ligand from CIF format (with mocked conversion).","2","test_prepare_ligand_cif","packages.docking.tests","Sun Apr 19 10:50:48 UTC 2026","passed","Sun Apr 19 10:50:48 UTC 2026","","test_prep","",""
"测试 load_plugins 从 entry points 加载插件","1","test_load_plugins","packages.cli.tests","Sun Apr 19 10:49:43 UTC 2026","passed","Sun Apr 19 10:49:43 UTC 2026","","test_plugins","",""
"","3","test_qc_manager_run","packages.rna_seq.tests","Sun Apr 19 10:51:17 UTC 2026","passed","Sun Apr 19 10:51:17 UTC 2026","","test_qc","",""
"","246","test_scatter_ellipse","packages.plot.tests","Sun Apr 19 10:51:12 UTC 2026","passed","Sun Apr 19 10:51:12 UTC 2026","","test_scatter","",""
"","2","test_docking_pipeline_construction","packages.core.tests","Sun Apr 19 10:49:43 UTC 2026","passed","Sun Apr 19 10:49:43 UTC 2026","","test_modules_import","",""
"","1","test_initialization","packages.docking.tests","Sun Apr 19 10:50:48 UTC 2026","passed","Sun Apr 19 10:50:48 UTC 2026","TestSminaEngine","test_smina","",""
"","170","test_cli_excel_sheet","packages.plot.tests","Sun Apr 19 10:50:53 UTC 2026","passed","Sun Apr 19 10:50:53 UTC 2026","","test_cli_sheet","",""
"","15","test_batch_docking_node_with_boxes","packages.docking.tests","Sun Apr 19 10:49:45 UTC 2026","passed","Sun Apr 19 10:49:45 UTC 2026","","test_nodes_boxes","",""
"","281","test_chinese_support_bar","packages.plot.tests","Sun Apr 19 10:50:50 UTC 2026","passed","Sun Apr 19 10:50:50 UTC 2026","","test_chinese_font","",""
"","472","test_chromosome_plot_sorting","packages.plot.tests","Sun Apr 19 10:50:51 UTC 2026","passed","Sun Apr 19 10:50:52 UTC 2026","","test_chromosome","",""
"","33","test_docking_node_auto_box","packages.docking.tests","Sun Apr 19 10:49:45 UTC 2026","passed","Sun Apr 19 10:49:45 UTC 2026","","test_auto_box","",""
"","0","test_haddock_engine_init","packages.docking.tests","Sun Apr 19 10:49:45 UTC 2026","passed","Sun Apr 19 10:49:45 UTC 2026","","test_haddock","",""
